symbol,name,ticker,sector,downloaded,download_note,source_index,benchmark_ticker,last_date,last,return_1d_pct,return_5d_pct,return_20d_pct,volume,avg_volume_20,volume_ratio_20d,turnover_proxy,rsi_14,rsi_5d_ago,above_sma_10,above_sma_20,above_sma_50,above_sma_100,above_sma_200,distance_sma_20_pct,distance_sma_50_pct,ma200_roc20_pct,supertrend_bullish,new_high20,within_3pct_ath,at_ath,rs_acceleration_pct,rs_ratio,rs_ratio_sma_50,rs_distance_sma_50_pct,rs_return_20d_pct,rs_above_50dma,trend_raw,breakout_raw,volume_raw,setup_score,setup_quality,primary_setup,setup_tags,setup_pivot_level,setup_breakout_date,setup_volume_ratio,setup_retest_gap_pct,setup_flag_depth_pct,setup_impulse_return_pct,setup_neckline_level,setup_commentary,rotation_signal,rotation_score
PWL,Physicswallah Ltd.,PWL.NS,Consumer Services,True,,NIFTY 500,^CRSLDX,2026-09-11,136.1,7.39,7.66,16.21,41161986.0,21789037.0,1.89,5602146294.6,64.64,55.51,True,True,True,True,True,10.77,6.1,,False,True,False,False,34.76,0.00595194,0.00549109,8.39,19.91,True,0.6666666666666666,0.5,1.89,4.93,Actionable watch,Breakout retest,"breakout, retest, pivot, volume, inverse-head-and-shoulders, base, reversal",132.92,2026-09-11,2.06,2.39,,,,Prior resistance has been cleared on higher volume and price is back near that pivot. This is the kind of retest zone where follow-through can matter more than chasing a stretched candle. Secondary patterns: Possible inverse H&S.,Strengthening with volume,7.9
ABSLAMC,Aditya Birla Sun Life AMC Ltd.,ABSLAMC.NS,Financial Services,True,,NIFTY 500,^CRSLDX,2026-09-11,1109.9,1.97,4.48,9.76,578949.0,223759.0,2.59,642575495.1,65.44,57.42,True,True,True,True,True,7.12,5.54,3.21,False,True,False,False,26.34,0.04853825,0.04501356,7.83,13.26,True,1.0,0.5,2.59,5.1,Actionable watch,Breakout retest,"breakout, retest, pivot, volume",1104.08,2026-06-15,2.86,0.53,,,,Prior resistance has been cleared on higher volume and price is back near that pivot. This is the kind of retest zone where follow-through can matter more than chasing a stretched candle.,Strengthening with volume,7.9
EMMVEE,Emmvee Photovoltaic Power Ltd.,EMMVEE.NS,Capital Goods,True,,NIFTY 500,^CRSLDX,2026-09-11,346.0,0.98,6.4,7.62,3747104.0,1942598.0,1.93,1296497984.0,65.41,50.37,True,True,True,True,True,5.82,5.51,,False,True,False,False,18.9,0.01513131,0.01403617,7.8,11.05,True,0.6666666666666666,0.5,1.93,5.1,Actionable watch,Breakout retest,"breakout, retest, pivot, volume, inverse-head-and-shoulders, base, reversal",338.4,2026-09-10,3.08,1.63,,,,Prior resistance has been cleared on higher volume and price is back near that pivot. This is the kind of retest zone where follow-through can matter more than chasing a stretched candle. Secondary patterns: Possible inverse H&S.,Strengthening with volume,7.9
CONCORDBIO,Concord Biotech Ltd.,CONCORDBIO.NS,Healthcare,True,,NIFTY 500,^CRSLDX,2026-09-11,1505.7,3.64,6.25,3.75,372504.0,176896.0,2.11,560879272.8,57.66,44.48,True,True,True,True,True,0.43,7.04,0.47,False,False,False,False,0.16,0.06584742,0.06018681,9.41,7.05,True,1.0,0.0,2.11,5.1,Actionable watch,Breakout retest,"breakout, retest, pivot, volume, flag, continuation, uptrend, inverse-head-and-shoulders, base, reversal",1386.17,2026-07-31,5.79,2.94,,,,"Prior resistance has been cleared on higher volume and price is back near that pivot. This is the kind of retest zone where follow-through can matter more than chasing a stretched candle. Secondary patterns: Bullish flag, Possible inverse H&S.",Strengthening with volume,7.9
JSL,Jindal Stainless Ltd.,JSL.NS,Metals & Mining,True,,NIFTY 500,^CRSLDX,2026-09-11,756.1,-0.79,2.47,2.47,1619515.0,875182.0,1.85,1224515291.5,59.18,58.21,True,True,True,True,True,3.78,3.94,-0.31,False,False,False,False,6.79,0.03306584,0.03113307,6.21,5.74,True,0.3333333333333333,0.0,1.85,5.1,Actionable watch,Breakout retest,"breakout, retest, pivot, volume, inverse-head-and-shoulders, base, reversal",748.87,2026-09-09,13.41,0.97,,,,Prior resistance has been cleared on higher volume and price is back near that pivot. This is the kind of retest zone where follow-through can matter more than chasing a stretched candle. Secondary patterns: Possible inverse H&S.,Strengthening with volume,7.85
AEGISVOPAK,Aegis Vopak Terminals Ltd.,AEGISVOPAK.NS,Oil Gas & Consumable Fuels,True,,NIFTY 500,^CRSLDX,2026-09-11,295.1,1.11,3.73,9.66,1776446.0,938502.0,1.89,524229214.6,61.61,57.18,True,True,True,True,True,6.34,4.5,0.54,False,False,True,False,15.03,0.01290534,0.01208733,6.77,13.16,True,1.0,0.5,1.89,3.4,Actionable watch,Possible inverse H&S,"inverse-head-and-shoulders, base, reversal",244.72,,,20.59,,,244.72,A possible inverse head-and-shoulders base is visible. The setup improves only if price clears or holds near the neckline with better volume.,Strengthening with volume,7.69
ABDL,Allied Blenders and Distillers Ltd.,ABDL.NS,Fast Moving Consumer Goods,True,,NIFTY 500,^CRSLDX,2026-09-11,632.5,3.44,3.7,5.51,563681.0,304684.0,1.85,356528232.5,57.85,48.37,True,True,True,True,True,3.78,1.78,-0.57,False,False,False,False,12.71,0.02766055,0.02659624,4.0,8.87,True,0.6666666666666666,0.0,1.85,3.4,Actionable watch,Possible inverse H&S,"inverse-head-and-shoulders, base, reversal",572.0,,,10.58,,,572.0,A possible inverse head-and-shoulders base is visible. The setup improves only if price clears or holds near the neckline with better volume.,Strengthening with volume,7.69
OIL,Oil India Ltd.,OIL.NS,Oil Gas & Consumable Fuels,True,,NIFTY 500,^CRSLDX,2026-09-11,489.8,-2.1,0.31,4.55,5273521.0,2478916.0,2.13,2582970585.8,57.47,60.86,False,True,True,True,True,1.27,6.2,1.29,False,False,False,False,1.44,0.02141998,0.01973817,8.52,7.88,True,1.0,0.0,2.13,3.41,Watch,Breakout retest,"breakout, retest, pivot, volume, inverse-head-and-shoulders, base, reversal",490.81,2026-09-02,1.42,0.21,,,,Prior resistance has been cleared on higher volume and price is back near that pivot. This is the kind of retest zone where follow-through can matter more than chasing a stretched candle. Secondary patterns: Possible inverse H&S.,Strengthening with volume,7.69
YESBANK,Yes Bank Ltd.,YESBANK.NS,Financial Services,True,,NIFTY 500,^CRSLDX,2026-09-11,23.48,5.29,4.36,3.57,234792571.0,59106616.0,3.97,5512929567.08,61.83,47.22,True,True,True,True,True,4.18,2.45,-0.07,False,True,False,False,11.91,0.00102683,0.0009809,4.68,6.87,True,0.6666666666666666,0.5,3.97,3.4,Actionable watch,Possible inverse H&S,"inverse-head-and-shoulders, base, reversal",21.35,,,9.98,,,21.35,A possible inverse head-and-shoulders base is visible. The setup improves only if price clears or holds near the neckline with better volume.,Strengthening with volume,7.69
LICHSGFIN,LIC Housing Finance Ltd.,LICHSGFIN.NS,Financial Services,True,,NIFTY 500,^CRSLDX,2026-09-11,562.9,1.92,0.15,12.58,11556446.0,4009232.0,2.88,6505123453.4,63.87,69.5,True,True,True,True,True,6.14,5.97,-0.5,False,False,False,False,26.24,0.0246168,0.02274011,8.25,16.17,True,0.3333333333333333,0.0,2.88,2.2,Watch,Possible inverse H&S,"inverse-head-and-shoulders, base, reversal",574.8,,,2.07,,,574.8,A possible inverse head-and-shoulders base is visible. The setup improves only if price clears or holds near the neckline with better volume.,Strengthening with volume,7.27
