symbol,name,ticker,sector,downloaded,download_note,source_index,benchmark_ticker,last_date,last,return_1d_pct,return_5d_pct,return_20d_pct,volume,avg_volume_20,volume_ratio_20d,turnover_proxy,rsi_14,rsi_5d_ago,above_sma_10,above_sma_20,above_sma_50,above_sma_100,above_sma_200,distance_sma_20_pct,distance_sma_50_pct,ma200_roc20_pct,supertrend_bullish,new_high20,within_3pct_ath,at_ath,rs_acceleration_pct,rs_ratio,rs_ratio_sma_50,rs_distance_sma_50_pct,rs_return_20d_pct,rs_above_50dma,trend_raw,breakout_raw,volume_raw,setup_score,setup_quality,primary_setup,setup_tags,setup_pivot_level,setup_breakout_date,setup_volume_ratio,setup_retest_gap_pct,setup_flag_depth_pct,setup_impulse_return_pct,setup_neckline_level,setup_commentary,rotation_signal,rotation_score
CHENNPETRO,Chennai Petroleum Corporation Ltd.,CHENNPETRO.NS,Oil Gas & Consumable Fuels,True,,NIFTY 500,^CRSLDX,2026-08-19,1440.3,2.59,4.41,19.47,5720727.0,3071760.0,1.86,8239563377.43,67.83,66.52,True,True,True,True,True,13.29,23.21,5.65,False,True,True,True,18.27,0.06158761,0.05036082,22.29,24.93,True,1.0,1.0,1.86,5.1,Actionable watch,Breakout retest,"breakout, retest, pivot, volume, inverse-head-and-shoulders, base, reversal",1352.5,2026-08-11,7.84,2.0,,,,Prior resistance has been cleared on higher volume and price is back near that pivot. This is the kind of retest zone where follow-through can matter more than chasing a stretched candle. Secondary patterns: Possible inverse H&S.,Strengthening with volume,7.9
ELGIEQUIP,Elgi Equipments Ltd.,ELGIEQUIP.NS,Capital Goods,True,,NIFTY 500,^CRSLDX,2026-08-19,637.8,3.84,11.14,9.64,1705661.0,419008.0,4.07,1087870564.98,66.91,45.57,True,True,True,True,True,8.45,7.91,2.16,False,True,True,True,17.76,0.02727249,0.02557282,6.65,11.63,True,1.0,1.0,4.07,5.1,Actionable watch,Breakout retest,"breakout, retest, pivot, volume, inverse-head-and-shoulders, base, reversal",623.94,2026-08-19,4.93,0.84,,,,Prior resistance has been cleared on higher volume and price is back near that pivot. This is the kind of retest zone where follow-through can matter more than chasing a stretched candle. Secondary patterns: Possible inverse H&S.,Strengthening with volume,7.9
IFCI,IFCI Ltd.,IFCI.NS,Financial Services,True,,NIFTY 500,^CRSLDX,2026-08-19,81.68,0.39,11.11,12.09,63787696.0,21771820.0,2.93,5210179028.75,64.52,47.35,True,True,True,True,True,8.9,6.3,3.1,False,True,False,False,29.1,0.00349266,0.00332434,5.06,10.32,True,1.0,0.5,2.93,5.1,Actionable watch,Breakout retest,"breakout, retest, pivot, volume, inverse-head-and-shoulders, base, reversal",79.13,2026-08-18,2.91,1.56,,,,Prior resistance has been cleared on higher volume and price is back near that pivot. This is the kind of retest zone where follow-through can matter more than chasing a stretched candle. Secondary patterns: Possible inverse H&S.,Strengthening with volume,7.9
ZENTEC,Zen Technologies Ltd.,ZENTEC.NS,Capital Goods,True,,NIFTY 500,^CRSLDX,2026-08-19,1932.6,-2.51,5.94,6.26,997323.0,587551.0,1.7,1927426405.45,64.3,58.55,True,True,True,True,True,9.57,7.44,2.44,False,False,False,False,10.73,0.08263848,0.07761635,6.47,6.1,True,1.0,0.0,1.7,5.1,Actionable watch,Breakout retest,"breakout, retest, pivot, volume, inverse-head-and-shoulders, base, reversal",1877.73,2026-08-18,6.22,0.25,,,,Prior resistance has been cleared on higher volume and price is back near that pivot. This is the kind of retest zone where follow-through can matter more than chasing a stretched candle. Secondary patterns: Possible inverse H&S.,Strengthening with volume,7.9
BALRAMCHIN,Balrampur Chini Mills Ltd.,BALRAMCHIN.NS,Fast Moving Consumer Goods,True,,NIFTY 500,^CRSLDX,2026-08-19,650.8,-0.38,3.66,7.67,1617563.0,930600.0,1.74,1052709980.65,59.79,56.35,True,True,True,True,True,3.66,11.23,3.38,False,False,True,False,5.46,0.02782838,0.02509747,10.88,9.76,True,1.0,0.5,1.74,3.4,Actionable watch,Possible inverse H&S,"inverse-head-and-shoulders, base, reversal",460.95,,,67.72,,,460.95,A possible inverse head-and-shoulders base is visible. The setup improves only if price clears or holds near the neckline with better volume.,Strengthening with volume,7.69
THELEELA,Leela Palaces Hotels & Resorts Ltd.,THELEELA.NS,Consumer Services,True,,NIFTY 500,^CRSLDX,2026-08-19,532.8,2.63,6.61,8.5,1462202.0,623992.0,2.34,779061207.75,66.9,55.11,True,True,True,True,True,6.97,9.82,1.45,False,True,True,True,3.18,0.02278267,0.02066089,10.27,9.08,True,1.0,1.0,2.34,3.4,Actionable watch,Possible inverse H&S,"inverse-head-and-shoulders, base, reversal",491.0,,,9.16,,,491.0,A possible inverse head-and-shoulders base is visible. The setup improves only if price clears or holds near the neckline with better volume.,Strengthening with volume,7.69
ANANTRAJ,Anant Raj Ltd.,ANANTRAJ.NS,Realty,True,,NIFTY 500,^CRSLDX,2026-08-19,631.55,0.72,2.75,3.9,4252327.0,2220519.0,1.92,2685557064.94,64.14,59.02,True,True,True,True,True,2.45,10.02,-0.84,False,True,False,False,-4.75,0.02700524,0.02464213,9.59,6.61,True,0.6666666666666666,0.5,1.92,3.4,Actionable watch,Possible inverse H&S,"inverse-head-and-shoulders, base, reversal",586.62,,,8.03,,,586.62,A possible inverse head-and-shoulders base is visible. The setup improves only if price clears or holds near the neckline with better volume.,Strengthening with volume,7.69
PETRONET,Petronet LNG Ltd.,PETRONET.NS,Oil Gas & Consumable Fuels,True,,NIFTY 500,^CRSLDX,2026-08-19,288.15,0.66,2.97,3.04,5252827.0,1918206.0,2.74,1513602067.99,61.27,51.8,True,True,True,True,True,3.01,3.07,0.35,False,True,False,False,9.77,0.01232137,0.01201413,2.56,3.75,True,1.0,0.5,2.74,5.1,Actionable watch,Breakout retest,"breakout, retest, pivot, volume, inverse-head-and-shoulders, base, reversal",283.71,2026-08-19,2.9,1.02,,,,Prior resistance has been cleared on higher volume and price is back near that pivot. This is the kind of retest zone where follow-through can matter more than chasing a stretched candle. Secondary patterns: Possible inverse H&S.,Strengthening with volume,7.45
PFIZER,Pfizer Ltd.,PFIZER.NS,Healthcare,True,,NIFTY 500,^CRSLDX,2026-08-19,4919.5,2.5,-1.96,7.1,160066.0,47499.0,3.37,787444687.0,60.26,74.58,True,True,True,True,True,1.9,6.5,-0.75,False,False,False,False,1.73,0.21035911,0.19889385,5.76,5.72,True,0.3333333333333333,0.0,3.37,2.2,Watch,Possible inverse H&S,"inverse-head-and-shoulders, base, reversal",5211.65,,,5.54,,,5211.65,A possible inverse head-and-shoulders base is visible. The setup improves only if price clears or holds near the neckline with better volume.,Strengthening with volume,7.21
REDINGTON,Redington Ltd.,REDINGTON.NS,Services,True,,NIFTY 500,^CRSLDX,2026-08-19,335.05,2.68,-1.28,26.03,3781274.0,11290154.0,0.33,1266915807.54,60.55,68.01,False,True,True,True,True,3.58,15.49,2.37,False,False,False,False,18.77,0.01432683,0.01229653,16.51,21.55,True,1.0,0.0,0.33,4.72,Actionable watch,High-tight flag,"flag, continuation, uptrend, high-tight, inverse-head-and-shoulders, base, reversal",354.85,2026-08-07,0.46,,9.96,57.99,,Price has made a sharp impulse move and is now consolidating near the highs. A controlled pullback with quieter volume keeps the continuation setup alive. Secondary patterns: Possible inverse H&S.,Strengthening,7.1
M&MFIN,Mahindra & Mahindra Financial Services Ltd.,M&MFIN.NS,Financial Services,True,,NIFTY 500,^CRSLDX,2026-08-19,389.6,0.88,-1.58,20.79,2316241.0,4606613.0,0.5,902407507.74,59.37,63.87,False,True,True,True,True,0.45,14.71,3.23,False,False,False,False,8.57,0.0166594,0.01452406,14.7,19.92,True,1.0,0.0,0.5,4.66,Actionable watch,High-tight flag,"flag, continuation, uptrend, high-tight, inverse-head-and-shoulders, base, reversal",412.3,2026-08-10,0.53,,8.63,52.91,,Price has made a sharp impulse move and is now consolidating near the highs. A controlled pullback with quieter volume keeps the continuation setup alive. Secondary patterns: Possible inverse H&S.,Strengthening,7.1
URBANCO,Urban Company Ltd.,URBANCO.NS,Consumer Services,True,,NIFTY 500,^CRSLDX,2026-08-19,147.83,1.97,6.31,12.95,7114914.0,10967429.0,0.65,1051797749.65,66.83,55.48,True,True,True,True,True,6.72,9.94,-1.46,False,True,False,False,14.47,0.00632125,0.00576713,9.61,13.17,True,0.6666666666666666,0.5,0.65,5.1,Actionable watch,Breakout retest,"breakout, retest, pivot, volume, inverse-head-and-shoulders, base, reversal",139.51,2026-08-03,53.46,3.94,,,,Prior resistance has been cleared on higher volume and price is back near that pivot. This is the kind of retest zone where follow-through can matter more than chasing a stretched candle. Secondary patterns: Possible inverse H&S.,Strengthening,7.1
POLICYBZR,PB Fintech Ltd.,POLICYBZR.NS,Financial Services,True,,NIFTY 500,^CRSLDX,2026-08-19,1782.1,2.01,2.48,14.05,2185071.0,1215363.0,1.8,3894014975.75,69.18,66.31,True,True,True,True,True,8.44,10.26,-0.38,False,True,False,False,16.22,0.07620306,0.06951609,9.62,12.98,True,0.3333333333333333,0.5,1.8,4.83,Actionable watch,Breakout retest,"breakout, retest, pivot, volume, inverse-head-and-shoulders, base, reversal",1720.38,2026-08-19,1.87,2.54,,,,Prior resistance has been cleared on higher volume and price is back near that pivot. This is the kind of retest zone where follow-through can matter more than chasing a stretched candle. Secondary patterns: Possible inverse H&S.,Strengthening with volume,7.1
FLUOROCHEM,Gujarat Fluorochemicals Ltd.,FLUOROCHEM.NS,Chemicals,True,,NIFTY 500,^CRSLDX,2026-08-19,4689.1,0.31,2.7,1.78,165198.0,242520.0,0.68,774629957.93,63.79,61.65,True,True,True,True,True,2.58,12.59,2.48,False,False,True,False,1.35,0.20050715,0.1774125,13.02,12.95,True,1.0,0.5,0.68,5.1,Actionable watch,Breakout retest,"breakout, retest, pivot, volume, flag, continuation, uptrend, inverse-head-and-shoulders, base, reversal",4651.1,2026-08-13,5.5,0.41,,,,"Prior resistance has been cleared on higher volume and price is back near that pivot. This is the kind of retest zone where follow-through can matter more than chasing a stretched candle. Secondary patterns: Bullish flag, Possible inverse H&S.",Strengthening,7.1
ATHERENERG,Ather Energy Ltd.,ATHERENERG.NS,Automobile and Auto Components,True,,NIFTY 500,^CRSLDX,2026-08-19,1438.2,-1.88,-8.36,13.4,1688332.0,4496776.0,0.38,2428158999.96,58.88,79.64,False,True,True,True,True,3.76,17.28,8.85,False,False,False,False,-19.65,0.06149781,0.05218011,17.86,11.93,True,1.0,0.0,0.38,4.79,Actionable watch,High-tight flag,"flag, continuation, uptrend, high-tight, inverse-head-and-shoulders, base, reversal",1569.4,2026-08-12,0.55,,10.39,63.38,,Price has made a sharp impulse move and is now consolidating near the highs. A controlled pullback with quieter volume keeps the continuation setup alive. Secondary patterns: Possible inverse H&S.,Strengthening,7.1
ASTRAL,Astral Ltd.,ASTRAL.NS,Capital Goods,True,,NIFTY 500,^CRSLDX,2026-08-19,1544.9,1.64,5.69,12.3,385557.0,1034314.0,0.37,595647018.71,61.91,56.29,True,True,True,True,True,5.0,6.36,0.38,False,False,False,False,24.12,0.06606033,0.06284547,5.12,11.63,True,0.6666666666666666,0.0,0.37,5.1,Actionable watch,Breakout retest,"breakout, retest, pivot, volume, flag, continuation, uptrend, inverse-head-and-shoulders, base, reversal",1490.46,2026-08-13,26.19,2.79,,,,"Prior resistance has been cleared on higher volume and price is back near that pivot. This is the kind of retest zone where follow-through can matter more than chasing a stretched candle. Secondary patterns: Bullish flag, Possible inverse H&S.",Strengthening,7.1
INDGN,Indegene Ltd.,INDGN.NS,Healthcare,True,,NIFTY 500,^CRSLDX,2026-08-19,565.6,-0.37,0.04,15.15,302162.0,724174.0,0.42,170902819.82,63.65,68.33,True,True,True,True,True,4.7,8.31,-0.14,False,False,False,False,12.99,0.0241852,0.02254808,7.26,10.96,True,0.6666666666666666,0.0,0.42,5.1,Actionable watch,Breakout retest,"breakout, retest, pivot, volume, inverse-head-and-shoulders, base, reversal",542.3,2026-08-04,3.3,3.63,,,,Prior resistance has been cleared on higher volume and price is back near that pivot. This is the kind of retest zone where follow-through can matter more than chasing a stretched candle. Secondary patterns: Possible inverse H&S.,Strengthening,7.1
BALKRISIND,Balkrishna Industries Ltd.,BALKRISIND.NS,Automobile and Auto Components,True,,NIFTY 500,^CRSLDX,2026-08-19,2366.4,-0.43,-5.3,16.32,96953.0,554377.0,0.17,229429569.73,54.48,70.01,False,True,True,True,True,1.98,6.16,0.2,False,False,False,False,15.4,0.10118788,0.09595922,5.45,9.98,True,0.6666666666666666,0.0,0.17,5.1,Actionable watch,Breakout retest,"breakout, retest, pivot, volume, flag, continuation, uptrend, inverse-head-and-shoulders, base, reversal",2308.14,2026-07-31,9.07,1.64,,,,"Prior resistance has been cleared on higher volume and price is back near that pivot. This is the kind of retest zone where follow-through can matter more than chasing a stretched candle. Secondary patterns: Bullish flag, Possible inverse H&S.",Strengthening,7.1
CLEAN,Clean Science and Technology Ltd.,CLEAN.NS,Chemicals,True,,NIFTY 500,^CRSLDX,2026-08-19,819.3,-1.51,1.79,8.29,146477.0,546040.0,0.27,120008604.31,59.36,62.14,True,True,True,True,True,5.35,5.74,-3.29,False,False,False,False,15.13,0.03503348,0.03345789,4.71,9.83,True,0.3333333333333333,0.0,0.27,4.74,Actionable watch,Breakout retest,"breakout, retest, pivot, volume, inverse-head-and-shoulders, base, reversal",808.31,2026-08-13,1.68,1.66,,,,Prior resistance has been cleared on higher volume and price is back near that pivot. This is the kind of retest zone where follow-through can matter more than chasing a stretched candle. Secondary patterns: Possible inverse H&S.,Strengthening,7.1
