symbol,name,ticker,sector,downloaded,download_note,source_index,benchmark_ticker,last_date,last,return_1d_pct,return_5d_pct,return_20d_pct,volume,avg_volume_20,volume_ratio_20d,turnover_proxy,rsi_14,rsi_5d_ago,above_sma_10,above_sma_20,above_sma_50,above_sma_100,above_sma_200,distance_sma_20_pct,distance_sma_50_pct,ma200_roc20_pct,supertrend_bullish,new_high20,within_3pct_ath,at_ath,rs_acceleration_pct,rs_ratio,rs_ratio_sma_50,rs_distance_sma_50_pct,rs_return_20d_pct,rs_above_50dma,trend_raw,breakout_raw,volume_raw,setup_score,setup_quality,primary_setup,setup_tags,setup_pivot_level,setup_breakout_date,setup_volume_ratio,setup_retest_gap_pct,setup_flag_depth_pct,setup_impulse_return_pct,setup_neckline_level,setup_commentary,rotation_signal,rotation_score
KFINTECH,Kfin Technologies Ltd.,KFINTECH.NS,Financial Services,True,,NIFTY 500,^CRSLDX,2026-08-21,980.0,1.98,4.26,14.25,2709720.0,1573999.0,1.72,2655525600.0,63.08,57.06,True,True,True,True,True,3.52,8.57,-1.56,False,True,False,False,10.93,0.04164843,0.03868144,7.67,11.26,True,0.3333333333333333,0.5,1.72,5.05,Actionable watch,Breakout retest,"breakout, retest, pivot, volume, inverse-head-and-shoulders, base, reversal",942.54,2026-07-28,2.3,1.12,,,,Prior resistance has been cleared on higher volume and price is back near that pivot. This is the kind of retest zone where follow-through can matter more than chasing a stretched candle. Secondary patterns: Possible inverse H&S.,Strengthening with volume,7.9
ACMESOLAR,ACME Solar Holdings Ltd.,ACMESOLAR.NS,Power,True,,NIFTY 500,^CRSLDX,2026-08-21,401.6,1.06,7.35,9.77,4539592.0,2296702.0,1.98,1823100174.91,67.05,53.71,True,True,True,True,True,7.69,8.58,3.31,False,True,True,True,3.58,0.01706736,0.01585032,7.68,6.89,True,1.0,1.0,1.98,4.14,Actionable watch,Breakout retest,"breakout, retest, pivot, volume, inverse-head-and-shoulders, base, reversal",395.95,2026-08-21,2.09,0.77,,,,Prior resistance has been cleared on higher volume and price is back near that pivot. This is the kind of retest zone where follow-through can matter more than chasing a stretched candle. Secondary patterns: Possible inverse H&S.,Strengthening with volume,7.9
BALRAMCHIN,Balrampur Chini Mills Ltd.,BALRAMCHIN.NS,Fast Moving Consumer Goods,True,,NIFTY 500,^CRSLDX,2026-08-21,729.35,-4.92,16.72,19.54,19992314.0,3428113.0,5.83,14581393727.81,66.61,54.39,True,True,True,True,True,13.98,22.17,3.59,False,False,False,False,1.19,0.0309962,0.02560862,21.04,16.4,True,1.0,0.0,5.83,3.4,Actionable watch,Possible inverse H&S,"inverse-head-and-shoulders, base, reversal",460.95,,,58.23,,,460.95,A possible inverse head-and-shoulders base is visible. The setup improves only if price clears or holds near the neckline with better volume.,Strengthening with volume,7.69
ENDURANCE,Endurance Technologies Ltd.,ENDURANCE.NS,Automobile and Auto Components,True,,NIFTY 500,^CRSLDX,2026-08-21,3029.5,0.93,4.5,15.49,271213.0,161976.0,1.67,821639783.5,65.61,58.16,True,True,True,True,True,4.63,9.81,0.04,False,True,True,True,14.02,0.12874889,0.11816479,8.96,12.46,True,1.0,1.0,1.67,3.4,Actionable watch,Possible inverse H&S,"inverse-head-and-shoulders, base, reversal",2771.5,,,9.31,,,2771.5,A possible inverse head-and-shoulders base is visible. The setup improves only if price clears or holds near the neckline with better volume.,Strengthening with volume,7.69
CARBORUNIV,Carborundum Universal Ltd.,CARBORUNIV.NS,Capital Goods,True,,NIFTY 500,^CRSLDX,2026-08-21,1169.8,2.83,1.58,10.17,751724.0,237453.0,3.17,879366771.91,59.21,58.83,True,True,True,True,True,5.65,5.03,2.15,False,False,False,False,13.38,0.04971462,0.04771532,4.19,7.29,True,1.0,0.0,3.17,3.4,Actionable watch,Possible inverse H&S,"inverse-head-and-shoulders, base, reversal",961.2,,,21.7,,,961.2,A possible inverse head-and-shoulders base is visible. The setup improves only if price clears or holds near the neckline with better volume.,Strengthening with volume,7.69
GRASIM,Grasim Industries Ltd.,GRASIM.NS,Construction Materials,True,,NIFTY 500,^CRSLDX,2026-08-21,3308.0,0.24,1.83,7.41,1465187.0,923164.0,1.59,4846838596.0,59.7,54.91,True,True,True,True,True,2.5,4.33,1.32,False,False,True,False,4.92,0.14058469,0.13602127,3.35,4.59,True,1.0,0.5,1.59,3.4,Actionable watch,Possible inverse H&S,"inverse-head-and-shoulders, base, reversal",2913.6,,,13.54,,,2913.6,A possible inverse head-and-shoulders base is visible. The setup improves only if price clears or holds near the neckline with better volume.,Strengthening with volume,7.41
DIXON,Dixon Technologies (India) Ltd.,DIXON.NS,Consumer Durables,True,,NIFTY 500,^CRSLDX,2026-08-21,14850.0,0.0,5.1,7.25,582697.0,367971.0,1.58,8653050450.0,67.86,57.43,True,True,True,True,True,4.8,10.41,-1.65,False,True,False,False,-11.83,0.63110115,0.57646029,9.48,4.44,True,0.6666666666666666,0.5,1.58,3.4,Actionable watch,Possible inverse H&S,"inverse-head-and-shoulders, base, reversal",12835.0,,,15.7,,,12835.0,A possible inverse head-and-shoulders base is visible. The setup improves only if price clears or holds near the neckline with better volume.,Strengthening with volume,7.38
DATAPATTNS,Data Patterns (India) Ltd.,DATAPATTNS.NS,Capital Goods,True,,NIFTY 500,^CRSLDX,2026-08-21,4829.9,2.76,8.4,5.35,2315241.0,885278.0,2.62,11182382279.8,62.73,51.48,True,True,True,True,True,7.08,7.69,5.24,False,True,True,False,-0.25,0.20526299,0.19251446,6.62,2.59,True,1.0,1.0,2.62,5.1,Actionable watch,Breakout retest,"breakout, retest, pivot, volume, inverse-head-and-shoulders, base, reversal",4722.78,2026-08-21,2.77,0.16,,,,Prior resistance has been cleared on higher volume and price is back near that pivot. This is the kind of retest zone where follow-through can matter more than chasing a stretched candle. Secondary patterns: Possible inverse H&S.,Strengthening with volume,7.22
REDINGTON,Redington Ltd.,REDINGTON.NS,Services,True,,NIFTY 500,^CRSLDX,2026-08-21,350.55,0.7,4.94,35.32,5045121.0,12065853.0,0.42,1768567104.96,66.59,61.66,True,True,True,True,True,5.47,18.86,2.83,False,False,True,False,38.53,0.01489781,0.01259801,18.26,31.77,True,1.0,0.5,0.42,4.72,Actionable watch,High-tight flag,"flag, continuation, uptrend, high-tight, inverse-head-and-shoulders, base, reversal",354.85,2026-08-07,0.48,,9.96,57.99,,Price has made a sharp impulse move and is now consolidating near the highs. A controlled pullback with quieter volume keeps the continuation setup alive. Secondary patterns: Possible inverse H&S.,Strengthening,7.1
FINCABLES,Finolex Cables Ltd.,FINCABLES.NS,Capital Goods,True,,NIFTY 500,^CRSLDX,2026-08-21,1260.5,-2.38,1.09,26.19,548612.0,1990268.0,0.28,691525426.0,64.79,72.23,True,True,True,True,True,11.9,14.62,3.75,False,False,False,False,32.63,0.05356923,0.04711041,13.71,22.88,True,1.0,0.0,0.28,5.1,Actionable watch,Breakout retest,"breakout, retest, pivot, volume",1187.17,2026-08-11,36.41,5.73,,,,Prior resistance has been cleared on higher volume and price is back near that pivot. This is the kind of retest zone where follow-through can matter more than chasing a stretched candle.,Strengthening,7.1
